"","sample_name","class","x","y","confidence"
"182","15-12184-1_[42736,11079].im3","Tumour",1248,267,"98.82 %"
"183","15-12184-1_[42736,11079].im3","CD4 NFAT+",857,269,"65.97 %"
"184","15-12184-1_[42736,11079].im3","Tumour",1153,270,"87.29 %"
"185","15-12184-1_[42736,11079].im3","CD4 NFAT+",875,272,"98.57 %"
"186","15-12184-1_[42736,11079].im3","Tumour",1121,271,"74.00 %"
"187","15-12184-1_[42736,11079].im3","CD4 NFAT+",1054,272,"44.43 %"
"188","15-12184-1_[42736,11079].im3","Tumour",1235,272,"87.98 %"
"189","15-12184-1_[42736,11079].im3","Tumour",1015,273,"97.31 %"
"190","15-12184-1_[42736,11079].im3","Tumour",1169,273,"90.58 %"
"191","15-12184-1_[42736,11079].im3","unlabelled",1277,278,"93.80 %"
"192","15-12184-1_[42736,11079].im3","Tumour",843,280,"86.67 %"
"193","15-12184-1_[42736,11079].im3","CD4 NFAT+",875,280,"98.89 %"
"194","15-12184-1_[42736,11079].im3","CD8 NFAT-",1067,280,"34.06 %"
"195","15-12184-1_[42736,11079].im3","CD4 NFAT+",788,283,"67.58 %"
"196","15-12184-1_[42736,11079].im3","Tumour",1255,281,"98.52 %"
"197","15-12184-1_[42736,11079].im3","Tumour",1098,281,"98.57 %"
"198","15-12184-1_[42736,11079].im3","Tumour",888,284,"81.73 %"
"199","15-12184-1_[42736,11079].im3","CD4 NFAT+",849,285,"99.78 %"
"200","15-12184-1_[42736,11079].im3","CD4 NFAT+",863,284,"99.50 %"
"201","15-12184-1_[42736,11079].im3","Tumour",1150,286,"78.53 %"
"202","15-12184-1_[42736,11079].im3","unlabelled",1068,287,"76.74 %"
"203","15-12184-1_[42736,11079].im3","Tumour",1189,289,"82.12 %"
"204","15-12184-1_[42736,11079].im3","unlabelled",1059,293,"71.95 %"
"205","15-12184-1_[42736,11079].im3","Tumour",1221,293,"96.53 %"
"206","15-12184-1_[42736,11079].im3","CD4 NFAT+",852,291,"86.09 %"
"207","15-12184-1_[42736,11079].im3","Tumour",1123,293,"94.22 %"
"208","15-12184-1_[42736,11079].im3","Tumour",1205,293,"79.81 %"
"209","15-12184-1_[42736,11079].im3","CD4 NFAT+",871,298,"97.75 %"
"210","15-12184-1_[42736,11079].im3","CD4 NFAT+",788,297,"97.99 %"
"211","15-12184-1_[42736,11079].im3","CD4 NFAT+",883,296,"88.63 %"
"212","15-12184-1_[42736,11079].im3","NFATc Only",1026,298,"99.97 %"
"213","15-12184-1_[42736,11079].im3","unlabelled",1073,300,"44.26 %"
"214","15-12184-1_[42736,11079].im3","Tumour",1095,301,"68.49 %"
"215","15-12184-1_[42736,11079].im3","Tumour",928,304,"82.56 %"
"216","15-12184-1_[42736,11079].im3","Tumour",1272,303,"85.28 %"
"217","15-12184-1_[42736,11079].im3","Tumour",1054,306,"74.12 %"
"218","15-12184-1_[42736,11079].im3","Tumour",1286,308,"95.57 %"
"219","15-12184-1_[42736,11079].im3","Tumour",1146,308,"99.08 %"
"220","15-12184-1_[42736,11079].im3","Tumour",1106,309,"87.21 %"
"221","15-12184-1_[42736,11079].im3","CD4 NFAT+",790,309,"99.79 %"
"222","15-12184-1_[42736,11079].im3","Tumour",1158,310,"77.08 %"
"223","15-12184-1_[42736,11079].im3","Tumour",1244,312,"97.87 %"
"224","15-12184-1_[42736,11079].im3","Tumour",921,314,"96.01 %"
"225","15-12184-1_[42736,11079].im3","Tumour",1180,311,"57.65 %"
"226","15-12184-1_[42736,11079].im3","CD4 NFAT+",893,319,"63.18 %"
"227","15-12184-1_[42736,11079].im3","unlabelled",1068,314,"64.47 %"
"228","15-12184-1_[42736,11079].im3","CD4 NFAT+",799,319,"99.66 %"
"229","15-12184-1_[42736,11079].im3","Tumour",1092,316,"96.95 %"
"230","15-12184-1_[42736,11079].im3","Tumour",850,321,"99.32 %"
"231","15-12184-1_[42736,11079].im3","CD4 NFAT+",882,321,"94.02 %"
"232","15-12184-1_[42736,11079].im3","Tumour",1265,321,"90.19 %"
"233","15-12184-1_[42736,11079].im3","CD4 NFAT+",871,322,"96.67 %"
"234","15-12184-1_[42736,11079].im3","Tumour",972,323,"94.05 %"
"235","15-12184-1_[42736,11079].im3","Tumour",1204,323,"89.14 %"
"236","15-12184-1_[42736,11079].im3","CD4 NFAT+",771,324,"65.81 %"
"237","15-12184-1_[42736,11079].im3","Tumour",988,325,"98.10 %"
"238","15-12184-1_[42736,11079].im3","Tumour",1009,325,"96.52 %"
"239","15-12184-1_[42736,11079].im3","Tumour",1279,328,"99.66 %"
"240","15-12184-1_[42736,11079].im3","Tumour",1099,329,"95.84 %"
"241","15-12184-1_[42736,11079].im3","CD8 NFAT-",1066,328,"33.78 %"
"242","15-12184-1_[42736,11079].im3","CD4 NFAT+",791,330,"99.76 %"
"243","15-12184-1_[42736,11079].im3","CD4 NFAT+",801,331,"99.38 %"
"244","15-12184-1_[42736,11079].im3","Tumour",857,333,"98.92 %"
"245","15-12184-1_[42736,11079].im3","CD4 NFAT+",882,334,"95.31 %"
"246","15-12184-1_[42736,11079].im3","Tumour",1183,336,"62.35 %"
"247","15-12184-1_[42736,11079].im3","Tumour",1197,335,"98.55 %"
"248","15-12184-1_[42736,11079].im3","CD4 NFAT+",868,336,"91.30 %"
"249","15-12184-1_[42736,11079].im3","Tumour",1093,339,"91.43 %"
"250","15-12184-1_[42736,11079].im3","Tumour",770,340,"92.54 %"
"251","15-12184-1_[42736,11079].im3","Tumour",808,344,"99.40 %"
"252","15-12184-1_[42736,11079].im3","Tumour",1167,346,"55.60 %"
"253","15-12184-1_[42736,11079].im3","Tumour",932,348,"98.67 %"
"254","15-12184-1_[42736,11079].im3","unlabelled",1293,346,"80.96 %"
"255","15-12184-1_[42736,11079].im3","CD4 NFAT+",786,347,"97.52 %"
"256","15-12184-1_[42736,11079].im3","CD4 NFAT+",799,351,"99.84 %"
"257","15-12184-1_[42736,11079].im3","Tumour",1081,350,"58.87 %"
"258","15-12184-1_[42736,11079].im3","Tumour",1119,349,"99.06 %"
"259","15-12184-1_[42736,11079].im3","Tumour",1190,348,"67.11 %"
"260","15-12184-1_[42736,11079].im3","Tumour",1205,348,"98.05 %"
"261","15-12184-1_[42736,11079].im3","CD4 NFAT+",1098,352,"69.13 %"
"262","15-12184-1_[42736,11079].im3","CD4 NFAT+",803,360,"99.86 %"
"263","15-12184-1_[42736,11079].im3","CD4 NFAT+",881,360,"50.14 %"
"264","15-12184-1_[42736,11079].im3","CD4 NFAT+",814,363,"92.81 %"
"265","15-12184-1_[42736,11079].im3","Tumour",1011,364,"93.94 %"
"266","15-12184-1_[42736,11079].im3","Tumour",784,367,"99.08 %"
"267","15-12184-1_[42736,11079].im3","Tumour",1200,367,"91.95 %"
"268","15-12184-1_[42736,11079].im3","unlabelled",1318,363,"97.56 %"
"269","15-12184-1_[42736,11079].im3","Tumour",1021,368,"96.96 %"
"270","15-12184-1_[42736,11079].im3","CD4 NFAT+",823,370,"68.98 %"
"271","15-12184-1_[42736,11079].im3","Tumour",1218,370,"98.62 %"
"272","15-12184-1_[42736,11079].im3","CD4 NFAT+",893,373,"58.11 %"
"273","15-12184-1_[42736,11079].im3","Tumour",1246,372,"83.53 %"
"274","15-12184-1_[42736,11079].im3","CD8 NFAT-",851,375,"53.26 %"
"275","15-12184-1_[42736,11079].im3","unlabelled",933,375,"50.37 %"
"276","15-12184-1_[42736,11079].im3","CD4 NFAT+",796,370,"95.43 %"
"277","15-12184-1_[42736,11079].im3","Tumour",1189,375,"97.70 %"
"278","15-12184-1_[42736,11079].im3","CD4 NFAT+",876,377,"79.32 %"
"279","15-12184-1_[42736,11079].im3","Tumour",818,379,"92.72 %"
"280","15-12184-1_[42736,11079].im3","Tumour",1159,378,"94.25 %"
"281","15-12184-1_[42736,11079].im3","CD4 NFAT+",1233,385,"43.63 %"
"282","15-12184-1_[42736,11079].im3","Tumour",1256,381,"99.03 %"
"283","15-12184-1_[42736,11079].im3","Tumour",903,386,"60.43 %"
"284","15-12184-1_[42736,11079].im3","CD4 NFAT+",887,385,"92.02 %"
"285","15-12184-1_[42736,11079].im3","unlabelled",956,386,"70.73 %"
"286","15-12184-1_[42736,11079].im3","Tumour",1283,393,"98.36 %"
"287","15-12184-1_[42736,11079].im3","Tumour",1189,398,"98.61 %"
"288","15-12184-1_[42736,11079].im3","Tumour",1297,411,"99.06 %"
"289","15-12184-1_[42736,11079].im3","Tumour",1165,420,"71.83 %"
"290","15-12184-1_[42736,11079].im3","Tumour",1082,424,"96.84 %"
"291","15-12184-1_[42736,11079].im3","Tumour",1321,429,"91.10 %"
"292","15-12184-1_[42736,11079].im3","CD4 NFAT+",1182,431,"88.26 %"
"293","15-12184-1_[42736,11079].im3","Tumour",1241,431,"83.11 %"
"294","15-12184-1_[42736,11079].im3","Tumour",1258,437,"49.30 %"
"295","15-12184-1_[42736,11079].im3","unlabelled",1055,446,"43.38 %"
"296","15-12184-1_[42736,11079].im3","Tumour",1280,449,"95.82 %"
"297","15-12184-1_[42736,11079].im3","Tumour",1052,459,"98.80 %"
"298","15-12184-1_[42736,11079].im3","unlabelled",967,463,"63.81 %"
"299","15-12184-1_[42736,11079].im3","CD4 NFAT+",1030,465,"92.37 %"
"300","15-12184-1_[42736,11079].im3","CD4 NFAT+",1065,473,"50.58 %"
"301","15-12184-1_[42736,11079].im3","Tumour",1006,474,"96.84 %"
"302","15-12184-1_[42736,11079].im3","Tumour",1067,479,"97.25 %"
"303","15-12184-1_[42736,11079].im3","CD4 NFAT+",1054,483,"94.50 %"
"304","15-12184-1_[42736,11079].im3","CD4 NFAT+",1046,488,"99.92 %"
"305","15-12184-1_[42736,11079].im3","CD4 NFAT+",1152,488,"63.85 %"
"306","15-12184-1_[42736,11079].im3","Tumour",1121,490,"73.25 %"
"307","15-12184-1_[42736,11079].im3","CD4 NFAT+",1168,491,"89.39 %"
"308","15-12184-1_[42736,11079].im3","unlabelled",1181,492,"56.99 %"
"309","15-12184-1_[42736,11079].im3","CD4 NFAT+",1083,492,"78.25 %"
"310","15-12184-1_[42736,11079].im3","Tumour",1042,489,"89.79 %"
"311","15-12184-1_[42736,11079].im3","CD4 NFAT+",1130,496,"59.80 %"
"312","15-12184-1_[42736,11079].im3","CD4 NFAT+",1145,498,"87.11 %"
"313","15-12184-1_[42736,11079].im3","CD4 NFAT+",1160,499,"60.45 %"
"314","15-12184-1_[42736,11079].im3","Tumour",1174,499,"59.01 %"
"315","15-12184-1_[42736,11079].im3","unlabelled",1292,503,"94.28 %"
"316","15-12184-1_[42736,11079].im3","CD4 NFAT+",1121,504,"99.58 %"
"317","15-12184-1_[42736,11079].im3","CD4 NFAT-",1053,503,"39.76 %"
"318","15-12184-1_[42736,11079].im3","unlabelled",1201,514,"79.16 %"
"319","15-12184-1_[42736,11079].im3","Tumour",1128,513,"60.66 %"
"320","15-12184-1_[42736,11079].im3","Tumour",1103,516,"56.28 %"
"321","15-12184-1_[42736,11079].im3","CD4 NFAT+",1136,523,"61.76 %"
"322","15-12184-1_[42736,11079].im3","CD4 NFAT+",1095,525,"92.40 %"
"323","15-12184-1_[42736,11079].im3","unlabelled",1271,541,"88.28 %"
"324","15-12184-1_[42736,11079].im3","Tumour",1085,544,"98.30 %"
"325","15-12184-1_[42736,11079].im3","CD4 NFAT+",1168,544,"42.41 %"
"326","15-12184-1_[42736,11079].im3","unlabelled",1188,550,"54.35 %"
"327","15-12184-1_[42736,11079].im3","unlabelled",1289,562,"95.89 %"
"328","15-12184-1_[42736,11079].im3","Tumour",1151,574,"93.90 %"
"329","15-12184-1_[42736,11079].im3","unlabelled",1331,581,"99.45 %"
"330","15-12184-1_[42736,11079].im3","Tumour",1182,587,"99.81 %"
"331","15-12184-1_[42736,11079].im3","Tumour",1173,591,"97.60 %"
"332","15-12184-1_[42736,11079].im3","Tumour",1156,600,"57.83 %"
"333","15-12184-1_[42736,11079].im3","unlabelled",1234,612,"49.50 %"
"334","15-12184-1_[42736,11079].im3","Tumour",1315,616,"98.26 %"
"335","15-12184-1_[42736,11079].im3","unlabelled",1215,618,"73.69 %"
"336","15-12184-1_[42736,11079].im3","Tumour",1300,620,"75.54 %"
"337","15-12184-1_[42736,11079].im3","Tumour",1336,623,"98.64 %"
"338","15-12184-1_[42736,11079].im3","Tumour",1210,638,"90.74 %"
"339","15-12184-1_[42736,11079].im3","CD4 NFAT+",1220,643,"99.72 %"
"340","15-12184-1_[42736,11079].im3","Tumour",1326,647,"98.88 %"
"341","15-12184-1_[42736,11079].im3","Tumour",1233,655,"97.14 %"
"342","15-12184-1_[42736,11079].im3","Tumour",1243,656,"99.65 %"
"343","15-12184-1_[42736,11079].im3","Tumour",1068,22,"98.84 %"
"344","15-12184-1_[42736,11079].im3","Tumour",1100,37,"95.69 %"
"345","15-12184-1_[42736,11079].im3","CD4 NFAT+",893,69,"66.26 %"
"346","15-12184-1_[42736,11079].im3","Tumour",1215,102,"97.57 %"
"347","15-12184-1_[42736,11079].im3","CD4 NFAT+",880,118,"86.74 %"
"348","15-12184-1_[42736,11079].im3","Tumour",1219,128,"99.26 %"
"349","15-12184-1_[42736,11079].im3","Tumour",890,122,"92.93 %"
"350","15-12184-1_[42736,11079].im3","Tumour",1277,151,"99.67 %"
"351","15-12184-1_[42736,11079].im3","Tumour",1029,199,"57.71 %"
"352","15-12184-1_[42736,11079].im3","Tumour",926,207,"99.39 %"
"353","15-12184-1_[42736,11079].im3","Tumour",1241,203,"99.45 %"
"354","15-12184-1_[42736,11079].im3","Tumour",1158,253,"90.45 %"
"355","15-12184-1_[42736,11079].im3","Tumour",1212,252,"98.89 %"
"356","15-12184-1_[42736,11079].im3","Tumour",1200,269,"94.97 %"
"357","15-12184-1_[42736,11079].im3","unlabelled",1307,362,"95.91 %"
"358","15-12184-1_[42736,11079].im3","Tumour",1303,458,"99.36 %"
"359","15-12184-1_[42736,11079].im3","CD4 NFAT+",1048,471,"99.16 %"
"360","15-12184-1_[42736,11079].im3","CD4 NFAT+",1097,497,"89.45 %"
